Inspecting 46119_FINAL.pdf...
Field 1: Name='Single Family', Tooltip='Single Family', Rect=pikepdf.Array([ Decimal('133.917425'), Decimal('529.570825'), Decimal('140.733575'), Decimal('536.386975') ])
Field 54: Name='Installation Address', Tooltip='Installation Address', Rect=pikepdf.Array([ Decimal('131.3371'), Decimal('452.7394'), Decimal('303.625'), Decimal('465.7394') ])
Field 55: Name='Contractor Contractor Phone Contact Name', Tooltip='Contractor Contractor Phone Contact Name', Rect=pikepdf.Array([ Decimal('425.84'), Decimal('452.7394'), Decimal('569.865'), Decimal('465.7394') ])
Field 56: Name='City', Tooltip='City', Rect=pikepdf.Array([ Decimal('67.158'), Decimal('438.9594'), Decimal('184.327'), Decimal('451.9594') ])
Field 57: Name='State', Tooltip='State', Rect=pikepdf.Array([ Decimal('218.997'), Decimal('438.9594'), Decimal('232.324'), Decimal('451.9594') ])
Field 58: Name='ZIP', Tooltip='ZIP', Rect=pikepdf.Array([ Decimal('259.488'), Decimal('438.9594'), Decimal('303.625'), Decimal('451.9594') ])
Field 59: Name='NJ HVAC License', Tooltip='NJ HVAC License', Rect=pikepdf.Array([ Decimal('400.924'), Decimal('438.9594'), Decimal('570.625'), Decimal('451.9594') ])
Field 60: Name='County', Tooltip='County', Rect=pikepdf.Array([ Decimal('81.334'), Decimal('425.1794'), Decimal('303.625'), Decimal('438.1794') ])
Field 61: Name='Participating Distributor Name', Tooltip='Participating Distributor Name', Rect=pikepdf.Array([ Decimal('443.674'), Decimal('425.1794'), Decimal('570.625'), Decimal('438.1794') ])
Field 62: Name='of Individuals in Household', Tooltip='of Individuals in Household', Rect=pikepdf.Array([ Decimal('168.517'), Decimal('411.3994'), Decimal('303.625'), Decimal('424.3994') ])
Field 63: Name='PSEG_2', Tooltip='PSEG', Rect=pikepdf.Array([ Decimal('92.0146'), Decimal('278.2837'), Decimal('303.625'), Decimal('291.2837') ])
Field 64: Name='PSE&G', Tooltip='PSE&G', Rect=pikepdf.Array([ Decimal('115.332'), Decimal('264.5037'), Decimal('303.625'), Decimal('277.5037') ])
Field 65: Name='Electric_3', Tooltip='Electric', Rect=pikepdf.Array([ Decimal('412.677'), Decimal('250.7237'), Decimal('570.625'), Decimal('263.7237') ])
Field 66: Name='Co_2', Tooltip='Co', Rect=pikepdf.Array([ Decimal('417.688'), Decimal('236.9437'), Decimal('573.5'), Decimal('249.9437') ])
Field 67: Name='SJG', Tooltip='SJG', Rect=pikepdf.Array([ Decimal('77.182'), Decimal('230.7437'), Decimal('303.625'), Decimal('243.7437') ])
Field 68: Name='replaced', Tooltip='replaced', Rect=pikepdf.Array([ Decimal('337.938'), Decimal('161.9955'), Decimal('569.8646'), Decimal('174.9955') ])
